Recording	Participant	Timeline	TOI	Interval	Media	Group1	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	130	52469	53667	1198	d	1	0.6357	0.25822	3.63985										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	136	53667	53717	50						15.89	107.43	146.49	5.8	d	e	0.6357	0.25822	0.77457	0.2187
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	131	53717	54266	549	e	1	0.77457	0.2187	3.96684										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	137	54266	54300	33						192.6	166.04	212.99	6.39	e	d	0.77457	0.2187	0.62117	0.25298
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	132	54300	54499	200	d	1	0.62117	0.25298	3.94005										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	138	54499	54549	50						11.28	131.8	255.47	6.71	d	e	0.62117	0.25298	0.77916	0.22148
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	133	54549	55265	716	e	1	0.77916	0.22148	3.76838										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	139	55265	55281	17						254.29	33.29	33.29	0.64	e	e	0.77916	0.22148	0.77233	0.24575
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	134	55281	55747	466	e	1	0.77233	0.24575	3.79079										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	140	55747	55781	33						267.87	62.05	72.71	2.37	e	e	0.77233	0.24575	0.76813	0.35884
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	135	55781	56097	316	e	1	0.76813	0.35884	3.80265										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	141	56097	56130	33						262.35	78.89	84.39	2.87	e	j	0.76813	0.35884	0.75025	0.49199
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	136	56130	56413	283	j	1	0.75025	0.49199	3.88613										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	142	56413	56446	33						306.89	54.41	70.36	1.78	j	j	0.75025	0.49199	0.78332	0.53605
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	137	56446	56746	300	j	1	0.78332	0.53605	3.79992										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	143	56746	56762	17						182.66	52.2	52.2	1.53	j	j	0.78332	0.53605	0.75453	0.53739
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	138	56762	57245	482	j	1	0.75453	0.53739	3.68628										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	144	57245	57278	33						45.46	69.7	91.4	2.11	j	j	0.75453	0.53739	0.79898	0.49222
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	139	57278	57494	216	j	1	0.79898	0.49222	3.74268										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	145	57494	57511	17						188.32	77.5	77.5	1.46	j	j	0.79898	0.49222	0.76101	0.49777
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	140	57511	57644	133	j	1	0.76101	0.49777	3.66785										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	146	57644	57694	50						269.12	147.58	296.09	7.51	j	o	0.76101	0.49777	0.75604	0.82138
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	141	57694	57844	150	o	1	0.75604	0.82138	3.59062										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	147	57844	57861	17						102.77	51.75	51.75	1.58	o	o	0.75604	0.82138	0.74264	0.76228
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	142	57861	58243	383	o	1	0.74264	0.76228	3.56441										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	148	58243	58260	17						33.52	39.34	39.34	0.5	o	o	0.74264	0.76228	0.75797	0.75213
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Partial	143	58260	59391	1131	o	1	0.75797	0.75213	3.53123										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Partial	149	59525	59558	33							47.25	47.25			o			0.757	0.78232
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	144	59558	60240	682	o	1	0.757	0.78232	3.51784										
